,クラスタ_0,クラスタ_1,クラスタ_2,クラスタ_3,クラスタ_4
データ数,1090.0,505.0,3155.0,763.0,3781.0
平均,122.160856269113,142.23729372937282,92.5742736397252,123.27719528178233,94.82312880190416
標準偏差,120.73903027468359,132.67142994303225,101.44903846415536,127.58633476081668,98.15698463675365
min,20.0833333333333,20.3333333333333,20.0833333333333,20.3333333333333,20.0833333333333
10%タイル,26.74166666666666,28.36666666666662,24.0,26.199999999999942,24.0
25%タイル,39.60416666666663,44.3333333333333,32.0,37.37499999999995,32.5
中央値,74.12499999999994,90.3333333333333,52.0,69.4166666666666,57.1666666666666
75%タイル,159.81249999999974,198.0,108.7916666666665,155.25,114.666666666666
90%タイル,300.4499999999994,356.33333333333337,213.2666666666662,297.866666666666,223.5
max,596.166666666666,599.583333333333,598.0,588.416666666666,587.083333333333
