,20~75
AVG_MONTHLY_POPULATION,0.36950442810187345
NEAREST_STATION_INFO_count,0.3491687642495647
DISTANCE_VALUE,-0.10416142066397269
RATING_CNT,0.6557904839452681
RATING_SCORE,0.49508124177507024
IS_FAMILY_FRIENDLY,-0.1674791203063512
IS_FRIEND_FRIENDLY,0.1647279930005687
IS_ALONE_FRIENDLY,
DINNER_INFO,
LUNCH_INFO,0.5665033052872522
DINNER_PRICE,-0.3563610133211179
LUNCH_PRICE,-0.3414389672418525
HOLIDAY,
HOME_PAGE_URL,-0.27191023437518896
PHONE_NUM,0.1761611190927034
NUM_SEATS,0.4082524337422916
AGE_RESTAURANT,-0.04035045992571009
CITY_count,0.2796251106131926
rate_count,0.6618774152059769
seats_rate_count,0.607917399894811
