,20~75,75~150,150~300
AVG_MONTHLY_POPULATION,0.009591059583255247,-0.24042935781374497,-0.23882563001363083
NEAREST_STATION_INFO_count,-0.05393947948861513,0.12388190776159264,-0.3033932841818974
DISTANCE_VALUE,-0.23293952668184534,0.09073282124042628,0.2186602352841871
RATING_CNT,0.31656931078013956,-0.27372691255126697,-0.09862635436580942
RATING_SCORE,0.13407514068495957,-0.13932185826161608,0.2541694466192656
IS_FAMILY_FRIENDLY,0.05972412807182175,0.04509862208480829,-0.09426578896308993
IS_FRIEND_FRIENDLY,0.0014195574600272278,0.012167958684704822,-0.3685646980098932
IS_ALONE_FRIENDLY,0.009443617006691565,-0.10568307066180532,-0.2036879176604775
DINNER_INFO,0.02488558064433487,,
LUNCH_INFO,-0.26506049625680467,,-0.17553960320724413
DINNER_PRICE,0.1360447068322764,0.08620831168769727,0.03901057685367322
LUNCH_PRICE,-0.10761443128408137,-0.20218971610791253,-0.4718060300769938
HOLIDAY,0.042783362375858884,-0.014684790114444748,
HOME_PAGE_URL,-0.012327447312657298,-0.3334426341986978,0.24117967995584388
PHONE_NUM,0.02401220974595575,,0.3614345211187877
NUM_SEATS,0.10216067545576019,-0.3064780855025523,0.08628398451196852
AGE_RESTAURANT,0.11278256482036496,-0.21977009164960662,-0.40101486081053433
CITY_count,0.11210952704180048,0.16404545928145225,0.03779209544998087
rate_count,0.3245659635517472,-0.25263776398555804,0.04361219132388606
seats_rate_count,0.2277064304088669,-0.29569163367625584,-0.002283195222737289
