,居酒屋_クラスタ0,居酒屋_クラスタ1,居酒屋_クラスタ2,焼肉_クラスタ0,焼肉_クラスタ1,焼肉_クラスタ2,ラーメン_クラスタ0,ラーメン_クラスタ1,ラーメン_クラスタ2,バー_クラスタ0,バー_クラスタ1,バー_クラスタ2,中華料理_クラスタ0,中華料理_クラスタ1,中華料理_クラスタ2,イタリアン_クラスタ0,イタリアン_クラスタ1,イタリアン_クラスタ2,焼き鳥_クラスタ0,焼き鳥_クラスタ1,焼き鳥_クラスタ2,カフェ_クラスタ0,カフェ_クラスタ1,カフェ_クラスタ2,寿司_クラスタ0,寿司_クラスタ1,寿司_クラスタ2,ダイニングバー_クラスタ0,ダイニングバー_クラスタ1,ダイニングバー_クラスタ2,餃子_クラスタ0,餃子_クラスタ1,餃子_クラスタ2,その他_クラスタ0,その他_クラスタ1,その他_クラスタ2,お好み焼き_クラスタ0,お好み焼き_クラスタ1,お好み焼き_クラスタ2,そば_クラスタ0,そば_クラスタ1,そば_クラスタ2,海鮮_クラスタ0,海鮮_クラスタ1,海鮮_クラスタ2,韓国料理_クラスタ0,韓国料理_クラスタ1,韓国料理_クラスタ2,とんかつ_クラスタ0,とんかつ_クラスタ1,とんかつ_クラスタ2,ステーキ_クラスタ0,ステーキ_クラスタ1,ステーキ_クラスタ2,タイ料理_クラスタ0,タイ料理_クラスタ1,タイ料理_クラスタ2,日本料理_クラスタ0,日本料理_クラスタ1,日本料理_クラスタ2,もつ焼き_クラスタ0,もつ焼き_クラスタ1,もつ焼き_クラスタ2,ホルモン_クラスタ0,ホルモン_クラスタ1,ホルモン_クラスタ2,串揚げ_クラスタ0,串揚げ_クラスタ1,串揚げ_クラスタ2,ピザ_クラスタ0,ピザ_クラスタ1,ピザ_クラスタ2,もんじゃ焼き_クラスタ0,もんじゃ焼き_クラスタ1,もんじゃ焼き_クラスタ2,バル_クラスタ0,バル_クラスタ1,バル_クラスタ2,焼鳥_クラスタ0,焼鳥_クラスタ1,焼鳥_クラスタ2,ビストロ_クラスタ0,ビストロ_クラスタ1,ビストロ_クラスタ2,鉄板焼き_クラスタ0,鉄板焼き_クラスタ1,鉄板焼き_クラスタ2,洋食_クラスタ0,洋食_クラスタ1,洋食_クラスタ2,食堂_クラスタ0,食堂_クラスタ1,食堂_クラスタ2,うなぎ_クラスタ0,うなぎ_クラスタ1,うなぎ_クラスタ2,牛タン_クラスタ0,牛タン_クラスタ1,牛タン_クラスタ2,天ぷら_クラスタ0,天ぷら_クラスタ1,天ぷら_クラスタ2,ハンバーガー_クラスタ0,ハンバーガー_クラスタ1,ハンバーガー_クラスタ2
データ数,221.0,188.0,1239.0,110.0,85.0,669.0,429.0,72.0,52.0,52.0,388.0,3.0,62.0,298.0,35.0,52.0,312.0,6.0,260.0,28.0,47.0,230.0,33.0,41.0,196.0,19.0,73.0,184.0,13.0,10.0,87.0,59.0,2.0,112.0,15.0,10.0,38.0,23.0,74.0,92.0,15.0,23.0,75.0,13.0,35.0,27.0,69.0,17.0,67.0,23.0,18.0,85.0,10.0,12.0,13.0,90.0,1.0,61.0,23.0,18.0,68.0,10.0,15.0,63.0,16.0,8.0,18.0,46.0,13.0,62.0,7.0,4.0,13.0,58.0,2.0,64.0,4.0,1.0,5.0,52.0,10.0,13.0,11.0,40.0,44.0,4.0,15.0,17.0,28.0,17.0,46.0,13.0,1.0,12.0,12.0,33.0,26.0,23.0,7.0,39.0,12.0,1.0,27.0,16.0,7.0
平均,124.68627450980375,147.96498226950337,95.56907452246425,173.00151515151495,175.4627450980391,127.99177877428986,93.4426961926961,177.17361111111097,120.78044871794857,98.86378205128197,67.8015463917525,341.5,94.71505376344076,84.7922259507829,120.90238095238087,114.05929487179469,80.4871794871794,101.6944444444443,98.1858974358973,109.19345238095227,157.3936170212764,89.08623188405788,90.7272727272726,83.57723577235761,79.48809523809516,134.82456140350854,159.82191780821907,78.36911231884048,118.74358974358961,167.14999999999972,93.02203065134087,87.61299435028238,218.45833333333297,107.50074404761897,176.8888888888888,123.38333333333325,129.35526315789463,152.673913043478,91.10698198198183,68.3523550724637,67.67777777777769,71.17028985507234,73.79666666666658,148.72435897435884,155.07857142857134,112.23456790123444,75.32004830917865,111.28431372549015,96.12189054726362,129.42391304347822,111.92592592592582,115.71960784313721,141.24999999999997,105.95833333333326,76.28846153846146,69.6101851851851,79.6666666666666,55.14207650273216,62.416666666666536,78.86111111111099,107.15931372549005,86.66666666666652,118.69999999999985,106.2499999999999,113.87499999999989,99.43749999999991,104.9675925925925,71.07789855072456,137.5833333333332,104.01478494623643,128.2738095238095,179.99999999999997,213.45512820512792,149.97413793103436,517.333333333333,101.03255208333321,304.8541666666665,71.3333333333333,239.13333333333327,90.27724358974349,189.37499999999977,53.10256410256405,124.00757575757557,52.59374999999992,80.34090909090898,155.52083333333326,63.161111111111055,165.01470588235267,79.44345238095225,160.32843137254878,80.12137681159415,129.7115384615384,24.5,129.0416666666665,123.42361111111099,94.60606060606048,136.54166666666643,160.05072463768101,136.72619047619045,100.06196581196569,86.1249999999999,27.0,129.4753086419752,149.75520833333317,132.5595238095238
標準偏差,129.54552280934487,136.53732953854043,107.73810416810262,142.18834689090036,127.24439085586233,115.86317319667107,84.2420524013478,166.526614718562,81.52477340587744,109.36549402057985,79.68572050884953,186.1712920941357,107.57243879135491,83.20444753701891,142.21305027669192,91.4497855245039,89.07449416273487,117.39823804596149,103.92053910009042,98.21748263863245,143.99402696420086,100.64974440752775,93.66962821702471,69.22661405727331,86.73305314078647,135.44084369569111,159.5691847242282,77.83759127061825,136.95832894541803,160.00897833605492,71.65891820805271,97.62149783592668,110.13188116980476,116.6975031617478,129.33374626631834,105.17360134441087,134.96624909574209,159.73598188808185,83.75767249467758,97.88877601631683,46.204759798556715,65.95419706139369,79.70910683047263,147.5245718100861,156.3694222617944,105.71935119156721,60.23128696593472,129.16661982130708,98.20284563416558,123.18104570452701,53.165221328384845,116.21106181173332,152.90908498714174,72.24383078061804,67.96008849992299,64.71004041242395,,54.283989062883194,51.71755192164124,59.376299435385064,106.04546524810858,62.82499453459264,124.89816407333169,104.55012753060922,140.3601485333222,76.36671070543909,101.10155194793866,51.61914003501901,145.36551949915517,97.78584566785031,133.15939795804974,178.80662791178963,148.44890010953986,137.0762478011128,34.53038114794354,111.14303670029769,261.30405142604803,,218.97585641902262,82.22406935936434,107.09817414092997,30.282584108442556,89.84200216789107,48.42265982112517,97.48669626685025,146.3889475279242,41.37015289148143,125.45298904845893,79.38775837508368,152.28776633909968,78.90693593753284,157.60114556252773,,140.5148069950225,98.08770334960772,122.01636614796601,145.95663216250975,129.65612234901346,184.07213960663648,108.43354460563145,94.77684116498142,,117.17765571714972,111.01367728860647,105.0872511637014
min,20.0833333333333,20.3333333333333,20.0833333333333,22.4166666666666,21.8333333333333,20.1666666666666,20.4166666666666,22.6666666666666,20.5833333333333,20.5,20.1666666666666,128.0,21.0,20.0833333333333,24.0,22.0,20.1666666666666,27.0,20.0833333333333,21.8333333333333,22.5833333333333,20.1666666666666,20.9166666666666,22.0,20.0833333333333,21.0833333333333,21.0,20.0833333333333,20.3333333333333,43.25,20.0833333333333,20.0833333333333,140.583333333333,20.1666666666666,24.0,23.9166666666666,28.0833333333333,21.0,20.25,20.0833333333333,20.5,22.0,20.25,25.5,22.3333333333333,23.25,21.0,25.4166666666666,20.3333333333333,23.8333333333333,23.6666666666666,20.1666666666666,26.8333333333333,28.0,24.3333333333333,20.0833333333333,79.6666666666666,20.6666666666666,20.6666666666666,21.3333333333333,21.4166666666666,25.5,20.4166666666666,20.5,21.3333333333333,25.5833333333333,57.0,21.25,28.3333333333333,21.3333333333333,31.5,67.0833333333333,36.4166666666666,20.75,492.916666666666,20.3333333333333,36.0,71.3333333333333,33.4166666666666,21.25,59.75,22.25,23.75,20.0833333333333,22.4166666666666,45.5,23.1666666666666,20.25,22.0833333333333,20.75,20.1666666666666,21.3333333333333,24.5,24.0,24.1666666666666,20.8333333333333,20.5833333333333,35.0,40.0833333333333,20.1666666666666,21.6666666666666,27.0,20.25,20.3333333333333,23.6666666666666
10%タイル,25.9166666666666,28.94999999999999,23.98333333333332,37.8666666666666,36.1,28.6666666666666,25.0,32.77499999999994,47.425000000000004,25.025,22.05833333333331,187.7,26.73333333333333,25.224999999999994,31.16666666666664,28.858333333333302,23.51666666666666,28.7083333333333,23.49166666666666,31.01666666666661,36.49999999999998,24.56666666666663,22.2666666666666,24.8333333333333,22.62499999999995,32.14999999999994,29.49999999999996,22.44166666666662,20.58333333333332,51.575,28.34999999999996,23.26666666666664,156.158333333333,24.0,29.649999999999963,29.39166666666666,34.1,24.74999999999996,23.38333333333331,22.00833333333333,22.849999999999962,26.56666666666664,23.5333333333333,33.46666666666664,30.4833333333333,35.8333333333333,24.0,30.23333333333332,24.66666666666664,30.6666666666666,46.775000000000006,23.89999999999998,27.9583333333333,29.799999999999972,30.39999999999994,22.95833333333333,79.6666666666666,22.4166666666666,29.13333333333328,29.25,26.7666666666666,30.0,46.98333333333332,33.1666666666666,24.41666666666665,37.19166666666661,62.08333333333329,24.5416666666666,40.14999999999996,27.02499999999997,31.8,75.0583333333333,78.2333333333332,26.46666666666662,497.7999999999994,23.88333333333331,64.2499999999998,71.3333333333333,56.316666666666606,28.94999999999997,72.72499999999994,23.49999999999994,37.4166666666666,22.2916666666666,26.45,56.225,24.96666666666662,42.0,24.64166666666662,29.26666666666664,24.41666666666665,24.7,24.5,25.05,28.25833333333333,21.8,24.87499999999995,47.58333333333328,42.43333333333332,22.95,24.2,27.0,31.7166666666666,35.0833333333333,41.866666666666646
25%タイル,38.8333333333333,44.375,31.8333333333333,59.83333333333333,70.75,48.0,35.9166666666666,51.25,56.125,31.020833333333275,26.145833333333275,277.25,35.93749999999995,32.5,43.0833333333333,45.52083333333333,30.0,31.99999999999995,31.1875,48.6041666666666,50.0,32.0,29.9166666666666,30.25,28.812499999999975,42.125,45.1666666666666,28.5416666666666,40.1666666666666,54.31249999999997,42.375,30.62499999999995,179.520833333333,35.08333333333333,49.54166666666665,37.49999999999997,45.52083333333333,44.5416666666666,31.74999999999995,26.0,31.0833333333333,36.2916666666666,28.54166666666665,47.0833333333333,42.79166666666665,51.49999999999995,31.0,50.0,33.91666666666665,43.75,66.6041666666666,38.0,50.22916666666665,52.24999999999997,37.0833333333333,28.624999999999975,79.6666666666666,26.6666666666666,32.0,39.18749999999995,35.77083333333333,41.85416666666663,50.8333333333333,45.2916666666666,25.812499999999975,51.85416666666663,64.41666666666666,35.74999999999995,60.75,38.6666666666666,36.54166666666665,87.02083333333327,111.333333333333,46.18749999999997,505.1249999999995,31.9166666666666,106.6249999999995,71.3333333333333,90.6666666666666,39.875,116.875,29.1666666666666,74.4583333333333,25.60416666666665,31.56249999999995,72.3125,42.9583333333333,80.1666666666666,31.9166666666666,38.6666666666666,32.5,27.5,24.5,36.0,37.83333333333333,26.3333333333333,40.68749999999997,83.79166666666666,52.75,33.8333333333333,27.562499999999975,27.0,43.49999999999995,84.31249999999997,56.0
中央値,72.4166666666666,95.16666666666666,52.3333333333333,120.5416666666665,154.0,84.0,63.0,114.5416666666665,100.375,53.24999999999995,39.0833333333333,426.5,55.1666666666666,50.4583333333333,57.0833333333333,78.2083333333333,50.0833333333333,63.54166666666665,56.62499999999995,84.0,90.9166666666666,54.79166666666665,54.1666666666666,61.5833333333333,45.66666666666665,108.666666666666,78.0833333333333,49.49999999999995,53.1666666666666,86.2916666666665,68.75,50.75,218.45833333333297,60.0833333333333,157.5,91.0833333333333,65.41666666666666,79.0,55.5833333333333,37.16666666666665,58.5833333333333,49.0833333333333,46.4166666666666,113.0,72.9166666666666,74.6666666666666,53.9166666666666,63.4166666666666,67.5,74.5,112.458333333333,79.4166666666666,82.0833333333333,86.8333333333333,40.75,45.66666666666665,79.6666666666666,34.0,38.6666666666666,65.3333333333333,69.91666666666666,56.79166666666665,76.75,67.6666666666666,57.5,82.0,72.625,53.4166666666666,87.4166666666666,65.29166666666666,81.5833333333333,103.0833333333333,170.0,102.958333333333,517.333333333333,54.8333333333333,306.95833333333303,71.3333333333333,128.25,52.9583333333333,166.333333333333,44.25,106.583333333333,39.12499999999995,46.12499999999995,103.5416666666665,46.8333333333333,134.0,51.37499999999995,103.0,49.62499999999995,54.5,24.5,59.0,117.2916666666665,34.25,69.2083333333333,109.333333333333,62.5,55.0,32.87499999999995,27.0,75.6666666666666,105.0416666666665,64.25
75%タイル,154.416666666666,206.604166666666,112.7916666666665,242.270833333333,247.666666666666,161.916666666666,124.0,288.3125,159.77083333333326,119.83333333333326,74.33333333333333,448.25,93.83333333333327,101.2499999999995,133.875,181.1874999999995,87.16666666666663,91.58333333333333,116.97916666666626,124.06249999999974,239.91666666666652,100.93749999999974,94.0,111.416666666666,83.81249999999997,139.1249999999995,239.166666666666,92.18749999999997,153.833333333333,209.166666666666,118.6249999999995,103.958333333333,257.395833333333,136.22916666666652,311.125,210.0,143.3124999999995,190.91666666666652,125.39583333333326,54.5833333333333,91.458333333333,60.0,78.2916666666666,176.666666666666,240.708333333333,150.16666666666652,91.1666666666666,99.5,99.375,162.5,146.37499999999974,140.583333333333,118.6875,151.5,85.1666666666666,74.95833333333333,79.6666666666666,54.0,63.0,90.08333333333333,122.02083333333326,132.541666666666,124.083333333333,108.625,142.22916666666652,115.75,90.33333333333333,74.27083333333327,128.333333333333,118.4375,167.125,196.0625,250.583333333333,240.1249999999995,529.5416666666665,113.20833333333275,505.1875,71.3333333333333,412.5,116.97916666666626,248.54166666666623,69.6666666666666,139.91666666666652,54.99999999999997,83.8333333333332,186.74999999999974,75.7083333333333,196.25,91.12499999999997,226.083333333333,94.75,145.75,24.5,158.8125,179.5,117.333333333333,153.583333333333,184.333333333333,99.25,127.333333333333,121.77083333333275,27.0,200.75,211.49999999999974,227.0
90%タイル,310.916666666666,394.766666666666,222.61666666666622,362.9000000000001,358.8333333333329,294.216666666666,201.0333333333332,488.62499999999966,220.908333333333,242.56666666666655,127.3833333333331,461.3,208.95833333333297,189.14999999999992,339.1500000000002,251.166666666666,178.425,212.833333333333,209.69166666666658,220.54999999999984,389.93333333333277,202.14999999999938,177.266666666666,150.333333333333,188.16666666666652,295.1666666666663,400.0833333333329,172.84166666666613,356.24999999999955,386.60833333333267,205.90000000000012,244.0333333333333,280.758333333333,252.96666666666664,336.3,276.4749999999994,336.7583333333333,367.9666666666661,192.59166666666601,129.2583333333327,123.7999999999998,141.86666666666602,137.0333333333333,270.4499999999995,418.0000000000002,219.91666666666654,161.91666666666663,239.76666666666645,232.49999999999997,261.23333333333295,173.39166666666623,310.6500000000001,423.025,202.2749999999994,194.61666666666622,154.97499999999985,79.6666666666666,110.0,127.53333333333322,144.383333333333,262.891666666666,164.95,206.26666666666597,258.5000000000001,265.6249999999995,173.54999999999978,141.82499999999993,157.75,222.33333333333323,289.5499999999994,299.35,346.4750000000001,367.11666666666605,331.7083333333332,536.8666666666666,238.07500000000013,543.775,71.3333333333333,483.49999999999983,228.6083333333333,344.6666666666666,99.01666666666668,219.166666666666,101.13333333333331,146.408333333333,296.4,95.18333333333311,327.11666666666605,156.61666666666613,367.7833333333328,173.458333333333,333.1333333333328,24.5,300.97499999999945,253.1499999999994,238.18333333333302,360.83333333333303,323.9333333333328,285.3000000000002,222.7666666666661,238.40833333333333,27.0,288.5666666666665,306.8749999999995,251.20000000000002
max,586.0,582.25,594.833333333333,590.0,575.25,590.333333333333,598.0,594.5,409.5,449.416666666666,553.583333333333,470.0,550.166666666666,486.0,596.166666666666,374.583333333333,560.0,333.666666666666,593.333333333333,457.0,572.666666666666,561.083333333333,399.333333333333,312.083333333333,576.166666666666,534.833333333333,587.083333333333,443.166666666666,412.0,509.833333333333,322.75,418.166666666666,296.333333333333,595.0,360.916666666666,288.25,509.5,555.166666666666,400.666666666666,570.833333333333,174.75,268.083333333333,406.416666666666,569.833333333333,550.166666666666,524.25,330.166666666666,528.75,536.916666666666,459.75,205.0,505.0,427.75,251.5,222.25,360.333333333333,79.6666666666666,340.166666666666,214.666666666666,260.833333333333,496.666666666666,205.0,524.5,518.583333333333,522.0,264.666666666666,493.666666666666,215.083333333333,581.0,400.666666666666,377.5,446.75,587.916666666666,565.833333333333,541.75,516.25,569.5,71.3333333333333,530.833333333333,404.833333333333,373.166666666666,111.833333333333,337.5,302.916666666666,488.25,369.5,187.25,493.166666666666,364.833333333333,544.416666666666,402.75,506.0,24.5,470.916666666666,302.333333333333,550.666666666666,529.666666666666,575.25,550.5,533.083333333333,293.0,27.0,442.25,399.833333333333,274.0
