料理カテゴリ,シルエットスコア
ダイニングバー,0.6910977026879407
バル,0.6905761587232161
ピザ,0.6641420651188246
ステーキ,0.6388559349754382
その他,0.6356545010215762
食堂,0.6046683901694149
焼き鳥,0.5937546827553087
バー,0.5866543336739498
もんじゃ焼き,0.5770845732970353
中華料理,0.5755127289742751
カフェ,0.5738428784078007
イタリアン,0.5696648825213262
ラーメン,0.5681830609017495
ビストロ,0.5667182407247482
もつ焼き,0.5612838284704184
焼鳥,0.56028006032562
居酒屋,0.5505522872445374
そば,0.5471467780638605
タイ料理,0.5449248953329253
とんかつ,0.5384589107493047
焼肉,0.5346512021649293
ハンバーガー,0.5280510972084987
串揚げ,0.527512561081599
寿司,0.520505252242729
日本料理,0.518707756045923
うなぎ,0.5184896307698216
天ぷら,0.515353399055873
海鮮,0.5129672393878704
洋食,0.499501154374116
ホルモン,0.4647299485967266
韓国料理,0.45963166197136873
鉄板焼き,0.4479683865775128
お好み焼き,0.41774437489148836
牛タン,0.41262404925404833
餃子,0.38447032586437563
