特徴量,重要度
AVG_MONTHLY_POPULATION,2487
seats_rate_count,2215
RATING_SCORE,1989
NUM_SEATS,1821
NEAREST_STATION_INFO_count,1689
DISTANCE_VALUE,1666
DINNER_PRICE,1540
CITY_count,1446
AGE_RESTAURANT,1427
rate_count,1017
RATING_CNT,980
LUNCH_PRICE,653
HOLIDAY,546
CUISINE_CAT_1_japanese cuisine,506
CUISINE_CAT_1_restaurant,262
IS_FAMILY_FRIENDLY,214
IS_ALONE_FRIENDLY,202
CUISINE_CAT_1_izakaya,197
CUISINE_CAT_1_foreign ethnic cuisine,184
CUISINE_CAT_1_chinese cuisine,180
HOME_PAGE_URL,174
LUNCH_INFO,155
CUISINE_CAT_1_other,154
IS_FRIEND_FRIENDLY,137
DINNER_INFO,114
CUISINE_CAT_1_fastfood light meal,110
CUISINE_CAT_1_noodles,92
PHONE_NUM,49
CUISINE_CAT_1_italian cuisine,45
CUISINE_CAT_1_cafe and coffee shop,36
CUISINE_CAT_1_bread and desert,25
CUISINE_CAT_1_cafeteria,6
CUISINE_CAT_1_hotel and ryokan,0
CUISINE_CAT_1_convenience store,0
CUISINE_CAT_1_family restaurant,0
