特徴量,重要度
seats_rate_count,0.09750221476077592
AVG_MONTHLY_POPULATION,0.09031057582671767
rate_count,0.0828664818250256
NUM_SEATS,0.08087672728556763
NEAREST_STATION_INFO_count,0.07853716467310917
RATING_CNT,0.07660776415131418
RATING_SCORE,0.06896890974675622
AGE_RESTAURANT,0.06194954958829549
DISTANCE_VALUE,0.05834224663731953
CITY_count,0.0567439069573023
DINNER_PRICE,0.04857602168143707
LUNCH_PRICE,0.03916680171267965
HOLIDAY,0.015540624987453091
CUISINE_CAT_1_japanese cuisine,0.01412117068390728
IS_FAMILY_FRIENDLY,0.012895628819632986
HOME_PAGE_URL,0.012573000432049666
IS_FRIEND_FRIENDLY,0.012026706314927122
LUNCH_INFO,0.01119676586962277
IS_ALONE_FRIENDLY,0.010701231127256097
CUISINE_CAT_1_izakaya,0.009115009888839905
PHONE_NUM,0.00851885036682489
CUISINE_CAT_1_foreign ethnic cuisine,0.007220710344614475
CUISINE_CAT_1_chinese cuisine,0.006836639347270226
CUISINE_CAT_1_italian cuisine,0.00636868785452849
CUISINE_CAT_1_noodles,0.005386528333009609
CUISINE_CAT_1_restaurant,0.005345792594864488
DINNER_INFO,0.005161559757522395
CUISINE_CAT_1_other,0.0051559558163518536
CUISINE_CAT_1_fastfood light meal,0.003852139164192126
CUISINE_CAT_1_cafe and coffee shop,0.0038434526553387327
CUISINE_CAT_1_cafeteria,0.0015306412983811105
CUISINE_CAT_1_bread and desert,0.0014747766168116785
CUISINE_CAT_1_hotel and ryokan,0.00040737589610973104
CUISINE_CAT_1_convenience store,0.0002000107225157829
CUISINE_CAT_1_family restaurant,7.837626167507576e-05
