,20~75,75~150,150~300,300~
AVG_MONTHLY_POPULATION,0.0,0.0,0.1998563832476695,0.0
CITY_count,0.0,0.15600201945411513,0.0,0.1600193457344188
DINNER_PRICE,0.0,0.24956989127652215,0.0,0.0
DISTANCE_VALUE,0.0,0.24194312390474193,0.2110688401459158,0.0
HOME_PAGE_URL,0.0,0.0,0.0,0.1272174664680058
IS_ALONE_FRIENDLY,0.11375854925262367,0.0,0.0,0.0
LUNCH_PRICE,0.0,0.13791883954431453,0.0,0.1815228907377485
NEAREST_STATION_INFO_count,0.0,0.0,0.0,0.2525101384427835
NUM_SEATS,0.0,0.0,0.0,0.15076644310486279
RATING_CNT,0.14938261918201823,0.0,0.3386036546790263,0.0
RATING_SCORE,0.1170356711328312,0.14183644371983364,0.0,0.0
rate_count,0.1232533850824523,0.0,0.3184851962469466,0.0
seats_rate_count,0.12362579434088558,0.0,0.4083651118068043,0.0
